Student: Lotte Noren, Subject Code: TTM1234, Grade: B
Student: Lotte Kåre , Subject Code: TTM1111, Grade: B
Student: Lotte Noren, Subject Code: TTM1234, Grade: F
Student: Lotte Sølvsberg, Subject Code: TTM1234, Grade: A
Student: Lotte Noren, Subject Code: TTM1234, Grade: B
Student: Lotte Per, Subject Code: TTM1234, Grade: B
Student: Per Kåre, Subject Code: TTM1111, Grade: C
Student: Lotte Kåre , Subject Code: TTM1111, Grade: B
Student: Lotte Noren, Subject Code: TTM1234, Grade: F
Student: Lotte Sølvsberg, Subject Code: TTM1234, Grade: A
Student: Lotte Noren, Subject Code: TTM1234, Grade: B
Student: Lotte Per, Subject Code: TTM1234, Grade: B
Student: Per Kåre, Subject Code: TTM1111, Grade: C
Student: Lotte Kåre , Subject Code: TTM1111, Grade: B
Student: Lotte Noren, Subject Code: TTM1234, Grade: F
Student: Lotte Sølvsberg, Subject Code: TTM1234, Grade: A
Student: Lotte Noren, Subject Code: TTM1234, Grade: B
Student: Lotte Per, Subject Code: TTM1234, Grade: B
Student: Per Kåre, Subject Code: TTM1111, Grade: C
Student: Lotte Kåre , Subject Code: TTM1111, Grade: B
Student: Lotte Noren, Subject Code: TTM1234, Grade: F
Student: Lotte Sølvsberg, Subject Code: TTM1234, Grade: A
Student: Lotte Noren, Subject Code: TTM1234, Grade: B
Student: Lotte Per, Subject Code: TTM1234, Grade: B
